Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Match
Terrance Beadles,Ark-Pine Bluff,0,6-3,-0.2064542918312734,-0.5789751404435931,0.0,0.6294925460195345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Bedell,Colorado,0,6-4,-1.005632195694273,-1.227469271470581,1.244679782792812,-1.580573675331657,0.3185955309891294,-0.4822502669065061,-0.9864561295866748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.1119874457375659,-0.568670230969411,-0.7050852866103158,0.5694796126108478,1.0954990290414488,0.095626721073293,0.0878095466337101,0.087906383555647,0.7238739483738729,0.0935703242703895,0.0931364470466232,0.4975595001483737,-0.6798497726772896,0.098954963106243,0.0875849778756251,1.041147633274589,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,1.0409043083626637,0.6969147758535295,0.6964314398722494,1.8693058994272755,-0.1934307702691031,1.5219858572614524,-0.2280338317847055,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.1119874457375659,-0.568670230969411,0.7020731397233979,0.9346641788776214,0.7947726413514586,0.5971573211389144,-0.6146668264359711,1.8543588982071155,0.8116248838172101,0.0935703242703895,0.0931364470466232,-0.004866674198,-0.3085074599719694,1.158131441823621,-0.4327865706760891,1.1588208101576722,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,1.158590433920549,0.8427702490001813,0.8423172392626674,1.9946495380240925,-0.1934307702691031,1.5931201688674923,-0.2280338317847055,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,15.0,0.1119874457375659,-0.568670230969411,0.7020731397233979,1.4160438344110948,0.985028111114514,1.2957177998017428,-0.6146668264359711,-0.2433034629415032,0.4313708302294154,0.0935703242703895,0.0931364470466232,0.4062092866308559,-0.3085074599719694,-0.1454703781362288,1.1283280749790536,0.7337564773351065,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,0.7334793273134932,0.4091458693750001,0.4086027005343977,1.5418776190111,-0.1934307702691031,1.1959535957337704,-0.2280338317847055,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.1119874457375659,-0.568670230969411,0.7020731397233979,1.3081483943777303,0.2301435052804577,1.6181303284153556,0.7902859197033915,0.4191162300527974,0.9536978269159464,0.0935703242703895,0.0931364470466232,0.2235088595958073,0.4341771654386711,0.6692807593386774,1.1283280749790536,1.005125232187931,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,1.0048779433959638,0.97679960270251,0.9763744603241328,1.8309353978160048,-0.1934307702691031,1.0121899574181676,-0.2280338317847055,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.0393716049042492,0.9097396577118584,0.7020731397233979,0.1129989047773812,-0.1626419806819784,0.1404062389362949,0.4390477331685508,2.2959720268699826,1.0038412185978536,0.0562555298788387,0.0557131708467589,-0.3245924215093317,0.4341771654386711,1.891407465551037,0.6079565264273394,1.235668599142543,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,1.2378484368472882,1.0556403989979974,1.0591745086268023,2.079064641568888,-0.1934307702691031,1.4627072642564194,-0.2280338317847055,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.1119874457375659,-0.568670230969411,0.7020731397233979,0.1046992555440459,-0.0705828824095325,-0.0476677360883123,0.7902859197033915,1.3023424873785314,0.9913053706773768,0.0935703242703895,0.0931364470466232,0.0408084325607588,0.0628348527333508,1.158131441823621,0.0875849778756251,1.2092521716789937,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,1.2090273448739284,1.0241040804798025,1.0236887736399438,2.04581020683912,-0.1934307702691031,1.4449236863549095,-0.1389006077116662,0.0
Cooper Carlisle,Florida,0,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.3002616017557554,-1.4607851475697473,658.0,16.0,0.1119874457375659,0.9097396577118584,0.7020731397233979,0.5362810156775042,0.5738308054975888,0.1583180460814958,1.8440004793079128,0.7503260765499477,1.4049883520531097,0.0935703242703895,0.0931364470466232,0.4062092866308559,0.8055194781439914,0.9137061005811492,-0.4327865706760891,1.2188581453021026,-0.2082845693042773,2.0430172713124124,-0.1532759932093045,1.218634375531715,1.4104239823276912,1.4100889990524024,-0.6938436082055978,-0.1934307702691031,0.887704912107598,-0.2280338317847055,0.0
Travis Claridge,USC,0,6-5,-0.9257144053079732,-0.7951398507859224,1.244679782792812,0.6294925460195345,-0.1251146545258844,-0.4519188227147153,0.3416651207659341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
