Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
D.K. Metcalf,WR,Mississippi,College Stats,6-3,228,4.33,40.5,27,134,7.38,4.50,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
Jakobi Meyers,WR,North Carolina State,College Stats,6-2,203,4.63,37.0,13,118,7.07,4.23,,MeyeJa01
Joshua Miles,OT,Morgan State,,6-5,314,5.32,36.0,,109,8.07,4.75,Arizona Cardinals / 7th / 248th pick / 2019,MileJo00
Christian Miller,EDGE,Alabama,College Stats,6-3,247,,38.5,,118,,,Carolina Panthers / 4th / 115th pick / 2019,MillCh04
Jordan Miller,CB,Washington,College Stats,6-1,186,4.49,37.0,6,125,,,Atlanta Falcons / 5th / 172nd pick / 2019,MillJo05
Shareef Miller,EDGE,Penn State,College Stats,6-4,254,4.69,29.5,16,,,4.45,Philadelphia Eagles / 4th / 138th pick / 2019,MillSh00
Gardner Minshew,QB,Washington State,College Stats,6-1,225,4.97,33.5,,116,7.14,4.45,Jacksonville Jaguars / 6th / 178th pick / 2019,MinsGa00
Dillon Mitchell,WR,Oregon,College Stats,6-1,197,4.46,36.5,12,122,,4.29,Minnesota Vikings / 7th / 239th pick / 2019,MitcDi00
David Montgomery,RB,Iowa State,College Stats,5-10,222,4.63,28.5,15,121,,,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
Jalin Moore,RB,Appalachian State,College Stats,5-10,212,,,27,,,,,MoorJa01
Foster Moreau,TE,LSU,College Stats,6-4,253,4.66,36.5,22,121,7.16,4.11,Oakland Raiders / 4th / 137th pick / 2019,MoreFo00
Stanley Morgan,WR,Nebraska,College Stats,6-0,202,4.53,38.5,14,125,6.78,4.13,,MorgSt02
Trayvon Mullen,CB,Clemson,College Stats,6-1,199,4.46,34.5,,123,,,Oakland Raiders / 2nd / 40th pick / 2019,MullTr00
Byron Murphy,CB,Washington,College Stats,5-11,190,4.55,36.5,14,120,,,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
Kyler Murray,QB,Oklahoma,College Stats,5-10,207,,,,,,,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
Nyqwan Murray,WR,Florida State,College Stats,5-10,191,4.63,34.0,8,113,7.20,4.40,,MurrNy00
Isaac Nauta,TE,Georgia,College Stats,6-3,244,4.91,28.0,19,,7.45,4.43,Detroit Lions / 7th / 224th pick / 2019,NautIs00
Anthony Nelson,DL,Iowa,College Stats,6-7,271,4.82,35.5,18,118,6.95,4.23,Tampa Bay Buccaneers / 4th / 107th pick / 2019,NelsAn01
Yosh Nijman,OT,Virginia Tech,College Stats,6-7,324,,,27,114,8.07,4.50,,NijmYo01
Bobby Okereke,LB,Stanford,College Stats,6-1,239,4.58,33.5,,122,7.25,4.26,Indianapolis Colts / 3rd / 89th pick / 2019,OkerBo00
Ed Oliver,DL,Houston,College Stats,6-2,287,,36.0,32,120,,,Buffalo Bills / 1st / 9th pick / 2019,OlivEd00
Josh Oliver,TE,San Jose State,College Stats,6-5,249,4.63,34.0,22,117,7.21,4.47,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
Qadree Ollison,RB,Pittsburgh,College Stats,6-1,228,4.58,29.5,19,114,7.53,4.31,Atlanta Falcons / 5th / 152nd pick / 2019,OlliQa00
Charles Omenihu,DL,Texas,College Stats,6-5,280,4.92,36.5,,115,7.48,4.36,Houston Texans / 5th / 161st pick / 2019,OmenCh00
Iosua Opeta,OL,Weber State,,6-4,301,5.02,33.0,39,112,8.06,4.94,,OpetIo00
Amani Oruwariye,CB,Penn State,College Stats,6-2,205,4.47,36.5,17,120,6.82,4.16,Detroit Lions / 5th / 146th pick / 2019,OruwAm00
Javon Patterson,OL,Mississippi,College Stats,6-3,307,5.13,27.5,27,98,7.72,4.78,Indianapolis Colts / 7th / 246th pick / 2019,PattJa00
Jamal Peters,CB,Mississippi State,College Stats,6-2,218,4.63,,,,,,,PeteJa00
Ross Pierschbacher,OT,Alabama,College Stats,6-4,307,5.20,22.5,20,,7.83,4.70,Washington Redskins / 5th / 153rd pick / 2019,PierRo00
Trey Pipkins,OT,Sioux Falls,,6-6,309,5.12,33.5,16,114,7.61,4.70,Los Angeles Chargers / 3rd / 91st pick / 2019,PipkTr00
Jachai Polite,EDGE,Florida,College Stats,6-3,258,4.84,32.0,,,,,New York Jets / 3rd / 68th pick / 2019,PoliJa00
Tony Pollard,RB,Memphis,College Stats,6-0,210,4.52,35.0,13,121,,,Dallas Cowboys / 4th / 128th pick / 2019,PollTo00
Ryan Pope,OT,San Diego State,College Stats,6-7,320,,,25,,,,,PopeRy01
Ben Powers,OL,Oklahoma,College Stats,6-4,307,,,21,,,,Baltimore Ravens / 4th / 123rd pick / 2019,PoweBe00
Germaine Pratt,LB,North Carolina State,College Stats,6-2,240,4.57,32.5,24,116,,,Cincinnati Bengals / 3rd / 72nd pick / 2019,PratGe00
Isaiah Prince,OT,Ohio State,College Stats,6-6,305,5.09,27.0,23,115,7.90,5.02,Miami Dolphins / 6th / 202nd pick / 2019,PrinIs00
Ryan Pulley,CB,Arkansas,College Stats,5-11,209,4.61,31.0,11,111,,,,PullRy00
Taylor Rapp,S,Washington,College Stats,6-0,208,,35.0,17,115,6.82,3.99,Los Angeles Rams / 2nd / 61st pick / 2019,RappTa00
Wyatt Ray,EDGE,Boston Col.,College Stats,6-3,257,4.83,34.0,25,118,7.34,4.31,,RayxWy01
Dax Raymond,TE,Utah State,College Stats,6-5,255,4.73,32.0,15,109,7.15,4.39,,RaymDa01
Sheldrick Redwine,S,Miami (FL),College Stats,6-0,196,4.44,39.0,,130,,4.14,Cleveland Browns / 4th / 119th pick / 2019,RedwSh00
Hunter Renfrow,WR,Clemson,College Stats,5-10,184,4.59,35.0,7,116,6.80,4.19,Oakland Raiders / 5th / 149th pick / 2019,RenfHu00
Riley Ridley,WR,Georgia,College Stats,6-1,199,4.58,30.5,13,124,7.22,4.28,Chicago Bears / 4th / 126th pick / 2019,RidlRi00
Dalton Risner,OT,Kansas State,College Stats,6-5,312,5.30,28.5,23,110,7.69,4.52,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
Tyler Roemer,OT,San Diego State,College Stats,6-6,312,5.21,30.5,18,108,7.75,4.76,,RoemTy00
Dontavius Russell,DL,Auburn,College Stats,6-3,319,5.15,,24,,7.81,4.77,Jacksonville Jaguars / 7th / 235th pick / 2019,RussDo00
Brett Rypien,QB,Boise State,College Stats,6-2,210,4.91,33.0,,116,7.10,4.29,,RypiBr00
Dru Samia,OT,Oklahoma,College Stats,6-5,305,5.29,27.5,28,101,7.89,4.70,Minnesota Vikings / 4th / 114th pick / 2019,SamiDr00
Drew Sample,TE,Washington,College Stats,6-5,255,4.71,33.5,,115,7.15,4.31,Cincinnati Bengals / 2nd / 52nd pick / 2019,SampDr00
Deebo Samuel,WR,South Carolina,College Stats,5-11,214,4.48,39.0,15,122,7.03,4.14,San Francisco 49ers / 2nd / 36th pick / 2019,SamuDe00
Miles Sanders,RB,Penn State,College Stats,5-11,211,4.49,36.0,20,124,6.89,4.19,Philadelphia Eagles / 2nd / 53rd pick / 2019,SandMi01
Khalen Saunders,DL,Western Illinois,,6-0,324,5.01,30.5,27,101,7.57,4.62,Kansas City Chiefs / 3rd / 84th pick / 2019,SaunKh00
Darnell Savage,S,Maryland,College Stats,5-11,198,4.36,39.5,11,126,7.03,4.14,Green Bay Packers / 1st / 21st pick / 2019,SavaDa00
Jordan Scarlett,RB,Florida,College Stats,5-11,208,4.47,30.0,21,116,7.37,4.63,Carolina Panthers / 5th / 154th pick / 2019,ScarJo00
Max Scharping,OT,Northern Illinois,College Stats,6-6,327,,28.0,27,108,7.77,4.69,Houston Texans / 2nd / 55th pick / 2019,SchaMa01
Lj Scott,RB,Michigan State,College Stats,6-0,227,,33.0,21,120,7.27,4.34,,ScotLJ00
Austin Seibert,K,Oklahoma,College Stats,5-9,213,,,,,,,Cleveland Browns / 5th / 170th pick / 2019,SeibAu00
Kendall Sheffield,CB,Ohio State,College Stats,5-11,193,,,,,,,Atlanta Falcons / 4th / 111th pick / 2019,ShefKe00
Kyle Shurmur,QB,Vanderbilt,College Stats,6-4,230,4.91,29.5,,106,7.51,4.53,,ShurKy01
David Sills,WR,West Virginia,College Stats,6-3,211,4.57,37.5,14,117,6.97,4.28,,SillDa00
Devin Singletary,RB,Florida Atlantic,College Stats,5-7,203,4.66,35.0,15,117,7.32,4.40,Buffalo Bills / 3rd / 74th pick / 2019,SingDe00
Chris Slayton,DL,Syracuse,College Stats,6-4,307,5.13,29.0,28,101,,4.73,New York Giants / 7th / 245th pick / 2019,SlayCh00
Darius Slayton,WR,Auburn,College Stats,6-1,190,4.39,40.5,11,135,7.00,4.15,New York Giants / 5th / 171st pick / 2019,SlayDa01
Cameron Smith,LB,USC,College Stats,6-2,238,4.69,39.0,15,123,,4.23,Minnesota Vikings / 5th / 162nd pick / 2019,SmitCa01
Irv Smith,TE,Alabama,College Stats,6-2,242,4.63,32.5,19,110,7.32,4.33,Minnesota Vikings / 2nd / 50th pick / 2019,SmitIr01
Jaylen Smith,WR,Louisville,College Stats,6-2,219,4.47,34.5,14,122,7.55,4.48,,SmitJa07
Kaden Smith,TE,Stanford,College Stats,6-5,255,4.92,32.0,15,108,7.08,4.47,San Francisco 49ers / 6th / 176th pick / 2019,SmitKa00
Saivion Smith,CB,Alabama,College Stats,6-1,199,,33.0,11,121,7.09,4.37,,SmitSa02
Sutton Smith,EDGE,Northern Illinois,College Stats,6-0,233,4.69,31.5,25,118,6.75,4.32,Pittsburgh Steelers / 6th / 175th pick / 2019,SmitSu00
Benny Snell,RB,Kentucky,College Stats,5-10,224,4.66,29.5,16,119,7.07,4.33,Pittsburgh Steelers / 4th / 122nd pick / 2019,SnelBe00
Jace Sternberger,TE,Texas A&M,College Stats,6-4,251,4.75,31.5,17,113,7.19,4.31,Green Bay Packers / 3rd / 75th pick / 2019,SterJa00
Easton Stick,QB,North Dakota State,,6-1,224,4.62,33.5,,118,6.65,4.05,Los Angeles Chargers / 5th / 166th pick / 2019,SticEa00
Jarrett Stidham,QB,Auburn,College Stats,6-2,218,4.81,31.0,,110,7.28,4.33,New England Patriots / 4th / 133rd pick / 2019,StidJa00
Ty Summers,LB,TCU,College Stats,6-1,241,4.51,36.0,27,123,,,Green Bay Packers / 7th / 226th pick / 2019,SummTy00
Montez Sweat,EDGE,Mississippi State,College Stats,6-6,260,4.41,36.0,21,125,7.00,4.29,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
Tommy Sweeney,TE,Boston Col.,College Stats,6-4,251,4.83,,17,,,,Buffalo Bills / 7th / 228th pick / 2019,SweeTo00
William Sweet,OT,North Carolina,College Stats,6-6,313,5.27,30.5,23,111,8.01,5.00,,SweeWi01
Jordan Ta'amu,QB,Mississippi,College Stats,6-3,221,4.77,27.5,,109,7.06,4.36,,TaamJo01
Sione Takitaki,LB,BYU,College Stats,6-1,238,4.63,37.0,24,125,7.21,4.28,Cleveland Browns / 3rd / 80th pick / 2019,TakiSi00
Trevon Tate,OL,Memphis,College Stats,6-2,293,,,22,,,,,TateTr00
Jahlani Tavai,LB,Hawaii,College Stats,6-2,250,,,,,,,Detroit Lions / 2nd / 43rd pick / 2019,TavaJa00
Jawaan Taylor,OT,Florida,College Stats,6-5,312,,,24,,,,Jacksonville Jaguars / 2nd / 35th pick / 2019,TaylJa02
Marvell Tell,S,USC,College Stats,6-2,198,,42.0,,136,6.63,4.01,Indianapolis Colts / 5th / 144th pick / 2019,TellMa00
Derrek Thomas,CB,Baylor,College Stats,6-3,189,4.44,39.5,8,131,,,,-9999
Cody Thompson,WR,Toledo,College Stats,6-1,205,4.57,38.5,19,119,6.87,4.03,,ThomCo04
Deionte Thompson,S,Alabama,College Stats,6-1,195,,,,,,,Arizona Cardinals / 5th / 139th pick / 2019,ThomDe06
Juan Thornhill,S,Virginia,College Stats,6-0,205,4.42,44.0,21,141,,,Kansas City Chiefs / 2nd / 63rd pick / 2019,ThorJu00
Clayton Thorson,QB,Northwestern,College Stats,6-4,222,,,,,,,Philadelphia Eagles / 5th / 167th pick / 2019,ThorCl00
Jerry Tillery,DL,Notre Dame,College Stats,6-6,295,4.93,32.0,23,115,7.45,4.33,Los Angeles Chargers / 1st / 28th pick / 2019,TillJe00
Cole Tracy,K,LSU,College Stats,5-10,184,,,,,,,,TracCo00
Drue Tranquill,LB,Notre Dame,College Stats,6-2,234,4.57,37.5,31,122,6.94,4.14,Los Angeles Chargers / 4th / 130th pick / 2019,TranDr00
Oli Udoh,OT,Elon,,6-5,323,5.05,28.5,26,105,7.88,5.05,,-9999
D'Andre Walker,EDGE,Georgia,College Stats,6-2,251,,,,,,,Tennessee Titans / 5th / 168th pick / 2019,WalkDA02
Kahale Warring,TE,San Diego State,College Stats,6-5,252,4.67,36.5,19,122,7.21,4.25,Houston Texans / 3rd / 86th pick / 2019,WarrKa00
Armon Watts,DL,Arkansas,College Stats,6-5,300,5.23,,,,,,Minnesota Vikings / 6th / 190th pick / 2019,WattAr01
Jamarius Way,WR,South Alabama,College Stats,6-3,215,4.63,32.5,16,119,,4.66,,WayxJa00
Mike Weber,RB,Ohio State,College Stats,5-10,211,4.47,33.5,22,,,,Dallas Cowboys / 7th / 218th pick / 2019,WebeMi00
Ken Webster,CB,Mississippi,College Stats,5-11,203,4.43,43.0,18,133,6.85,4.14,New England Patriots / 7th / 252nd pick / 2019,WebsKe00
Trevon Wesco,TE,West Virginia,College Stats,6-3,267,4.89,31.0,24,117,7.18,4.38,New York Jets / 4th / 121st pick / 2019,WescTr00
Alex Wesley,WR,Northern Colorado,,6-0,190,4.45,38.5,13,125,7.40,4.44,,-9999
Antoine Wesley,WR,Texas Tech,College Stats,6-4,206,,37.0,6,117,7.07,4.26,,WeslAn01
Darius West,S,Kentucky,College Stats,5-11,208,4.39,33.5,19,113,,,,WestDa00
Devin White,LB,LSU,College Stats,6-0,237,4.42,39.5,22,118,7.07,4.17,Tampa Bay Buccaneers / 1st / 5th pick / 2019,WhitDe02
Christian Wilkins,DL,Clemson,College Stats,6-3,315,5.04,29.5,28,107,,4.55,Miami Dolphins / 1st / 13th pick / 2019,WilkCh00
Dexter Williams,RB,Notre Dame,College Stats,5-11,212,4.57,36.0,17,130,7.00,4.16,Green Bay Packers / 6th / 194th pick / 2019,WillDe07
Greedy Williams,CB,LSU,College Stats,6-2,185,4.37,,,,,,Cleveland Browns / 2nd / 46th pick / 2019,WillGr00
James Williams,RB,Washington State,College Stats,5-9,197,4.58,36.5,,118,7.01,4.25,,WillJa08
Jonah Williams,OT,Alabama,College Stats,6-4,302,5.12,28.0,23,100,8.01,4.79,Cincinnati Bengals / 1st / 11th pick / 2019,WillJo10
Joejuan Williams,CB,Vanderbilt,College Stats,6-4,211,4.64,,17,,,,New England Patriots / 2nd / 45th pick / 2019,WillJo13
Quinnen Williams,DL,Alabama,College Stats,6-3,303,4.83,30.5,,112,,,New York Jets / 1st / 3rd pick / 2019,WillQu00
Trayveon Williams,RB,Texas A&M,College Stats,5-8,206,4.51,33.0,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019,WillTr06
Gerald Willis,DL,Miami (FL),College Stats,6-2,302,,,,,,,,WillGe02
Khari Willis,S,Michigan State,College Stats,5-11,213,4.52,34.5,22,118,,,Indianapolis Colts / 4th / 109th pick / 2019,WillKh00
Caleb Wilson,TE,UCLA,College Stats,6-4,240,4.56,29.0,,113,7.20,4.40,Arizona Cardinals / 7th / 254th pick / 2019,WilsCa00
Donovan Wilson,S,Texas A&M,College Stats,6-0,199,,36.0,18,127,,,Dallas Cowboys / 6th / 213th pick / 2019,WilsDo01
Mack Wilson,LB,Alabama,College Stats,6-1,240,,32.0,,117,,,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03
Andrew Wingard,S,Wyoming,College Stats,6-0,209,4.56,36.5,9,121,7.08,4.20,,WingAn01
Chase Winovich,EDGE,Michigan,College Stats,6-3,256,4.59,30.5,18,116,6.94,4.11,New England Patriots / 3rd / 77th pick / 2019,WinoCh00
Daniel Wise,DL,Kansas,College Stats,6-3,281,5.28,27.5,22,112,7.53,4.37,,WiseDa01
Mitch Wishnowsky,P,Utah,College Stats,6-2,218,4.63,32.5,,117,,,San Francisco 49ers / 4th / 110th pick / 2019,WishMi00
Zedrick Woods,S,Mississippi,College Stats,5-11,205,4.29,34.5,19,122,7.00,4.15,,WoodZe00
Evan Worthington,S,Colorado,College Stats,6-2,212,4.63,33.5,17,121,7.07,4.37,,WortEv00
Renell Wren,DL,Arizona State,College Stats,6-5,318,5.01,32.0,30,118,7.65,4.53,Cincinnati Bengals / 4th / 125th pick / 2019,WrenRe00
Oshane Ximines,EDGE,Old Dominion,College Stats,6-3,253,4.78,34.0,24,118,7.13,4.57,New York Giants / 3rd / 95th pick / 2019,XimiOs00
Rock Ya-Sin,CB,Temple,College Stats,6-0,192,4.51,39.5,18,120,7.31,4.31,Indianapolis Colts / 2nd / 34th pick / 2019,Ya-SRo00
